FEN,Moves,Moves_UCI,9M_results
r2qr1k1/2pn1pbp/b3p1p1/p1PpPn2/1p1P1P2/4B1P1/PP1QNNBP/2RR3K w - - 0 1,Ng1,e2g1,"{'c1a1': {'wp': np.float64(0.552812223244951), 'cp': 57}, 'c1b1': {'wp': np.float64(0.5460356597116618), 'cp': 50}, 'c1c2': {'wp': np.float64(0.5536584277278201), 'cp': 58}, 'c1c3': {'wp': np.float64(0.12745260108704148), 'cp': -522}, 'c1c4': {'wp': np.float64(0.10582208618673922), 'cp': -579}, 'd1e1': {'wp': np.float64(0.5807759899998718), 'cp': 88}, 'd1f1': {'wp': np.float64(0.5424689199546162), 'cp': 46}, 'd1g1': {'wp': np.float64(0.5191542249590753), 'cp': 20}, 'h1g1': {'wp': np.float64(0.5557955306497744), 'cp': 60}, 'a2a3': {'wp': np.float64(0.5079168416289406), 'cp': 8}, 'a2a4': {'wp': np.float64(0.5058943519739381), 'cp': 6}, 'b2b3': {'wp': np.float64(0.5629679120186435), 'cp': 68}, 'd2e1': {'wp': np.float64(0.14135505006114274), 'cp': -489}, 'd2c2': {'wp': np.float64(0.11072034507010686), 'cp': -565}, 'd2c3': {'wp': np.float64(0.035086386693844104), 'cp': -900}, 'd2d3': {'wp': np.float64(0.09160583939285101), 'cp': -623}, 'd2b4': {'wp': np.float64(0.04259446034407197), 'cp': -845}, 'e2g1': {'wp': np.float64(0.5982874649212901), 'cp': 108}, 'e2c3': {'wp': np.float64(0.21103593851503286), 'cp': -358}, 'f2d3': {'wp': np.float64(0.5715955081944886), 'cp': 78}, 'f2h3': {'wp': np.float64(0.5700384854870773), 'cp': 76}, 'f2e4': {'wp': np.float64(0.23869689797401972), 'cp': -314}, 'f2g4': {'wp': np.float64(0.5370418472792186), 'cp': 40}, 'g2f1': {'wp': np.float64(0.5703928929223208), 'cp': 76}, 'g2f3': {'wp': np.float64(0.5610170893808453), 'cp': 66}, 'g2h3': {'wp': np.float64(0.5748535956096212), 'cp': 81}, 'g2e4': {'wp': np.float64(0.17332639860775684), 'cp': -424}, 'g2d5': {'wp': np.float64(0.20312062620117322), 'cp': -371}, 'h2h3': {'wp': np.float64(0.17933873952925), 'cp': -413}, 'h2h4': {'wp': np.float64(0.17062082106793933), 'cp': -429}, 'g3g4': {'wp': np.float64(0.6018647563236117), 'cp': 112}, 'c5c6': {'wp': np.float64(0.5021704017915192), 'cp': 2}}"
1q3rk1/5ppp/3P4/Q7/1p6/6P1/b4PBP/2R3K1 b - - 0 1,Be6,a2e6,"{'a2b1': {'wp': np.float64(0.15656509500219962), 'cp': -457}, 'a2b3': {'wp': np.float64(0.41997633320888783), 'cp': -87}, 'a2c4': {'wp': np.float64(0.1783604295731041), 'cp': -414}, 'a2d5': {'wp': np.float64(0.11707444377496135), 'cp': -548}, 'a2e6': {'wp': np.float64(0.5369226668353672), 'cp': 40}, 'b4b3': {'wp': np.float64(0.5512313119931458), 'cp': 55}, 'f7f5': {'wp': np.float64(0.109390410084112), 'cp': -569}, 'f7f6': {'wp': np.float64(0.10423085498780757), 'cp': -584}, 'g7g5': {'wp': np.float64(0.11900415064001964), 'cp': -543}, 'g7g6': {'wp': np.float64(0.18066696950678285), 'cp': -410}, 'h7h5': {'wp': np.float64(0.17655590730971676), 'cp': -418}, 'h7h6': {'wp': np.float64(0.17615821385104852), 'cp': -418}, 'b8b5': {'wp': np.float64(0.06336114589372023), 'cp': -731}, 'b8b6': {'wp': np.float64(0.062173078182130664), 'cp': -736}, 'b8d6': {'wp': np.float64(0.18786410136923193), 'cp': -397}, 'b8a7': {'wp': np.float64(0.06326306475193816), 'cp': -731}, 'b8b7': {'wp': np.float64(0.06148919583172649), 'cp': -740}, 'b8c7': {'wp': np.float64(0.049491120118479094), 'cp': -802}, 'b8a8': {'wp': np.float64(0.05839030058721671), 'cp': -755}, 'b8c8': {'wp': np.float64(0.08488642770931004), 'cp': -645}, 'b8d8': {'wp': np.float64(0.16576618923608638), 'cp': -438}, 'b8e8': {'wp': np.float64(0.12497197603250854), 'cp': -528}, 'f8c8': {'wp': np.float64(0.13546533132705552), 'cp': -503}, 'f8d8': {'wp': np.float64(0.17853672489070307), 'cp': -414}, 'f8e8': {'wp': np.float64(0.15195349438588793), 'cp': -466}, 'g8h8': {'wp': np.float64(0.15821596913658778), 'cp': -453}}"
3r4/pR1r1ppk/2pBpn1p/P1P4P/3q4/5QP1/5PK1/1R6 w - - 0 1,Be7,d6e7,"{'b1a1': {'wp': np.float64(0.12795073958641118), 'cp': -521}, 'b1c1': {'wp': np.float64(0.12847859748291993), 'cp': -519}, 'b1d1': {'wp': np.float64(0.23998185113967696), 'cp': -313}, 'b1e1': {'wp': np.float64(0.14122118190528488), 'cp': -490}, 'b1f1': {'wp': np.float64(0.12968454088419093), 'cp': -517}, 'b1g1': {'wp': np.float64(0.12685325927880864), 'cp': -523}, 'b1h1': {'wp': np.float64(0.13715504220651567), 'cp': -499}, 'b1b2': {'wp': np.float64(0.5146055154435352), 'cp': 15}, 'b1b3': {'wp': np.float64(0.5208828587355426), 'cp': 22}, 'b1b4': {'wp': np.float64(0.5612448054927697), 'cp': 66}, 'b1b5': {'wp': np.float64(0.16102298506064847), 'cp': -448}, 'b1b6': {'wp': np.float64(0.2353410373931249), 'cp': -320}, 'g2f1': {'wp': np.float64(0.42539227760480625), 'cp': -81}, 'g2g1': {'wp': np.float64(0.4843836821717197), 'cp': -16}, 'g2h1': {'wp': np.float64(0.45052570582134954), 'cp': -53}, 'g2h2': {'wp': np.float64(0.458715886026879), 'cp': -44}, 'g2h3': {'wp': np.float64(0.46684453419047106), 'cp': -36}, 'f3d1': {'wp': np.float64(0.12910820480005283), 'cp': -518}, 'f3e2': {'wp': np.float64(0.4460375648547893), 'cp': -58}, 'f3a3': {'wp': np.float64(0.19962968702404066), 'cp': -377}, 'f3b3': {'wp': np.float64(0.279496179113997), 'cp': -257}, 'f3c3': {'wp': np.float64(0.10294811097267254), 'cp': -587}, 'f3d3': {'wp': np.float64(0.08415236477793918), 'cp': -648}, 'f3e3': {'wp': np.float64(0.36471786928747985), 'cp': -150}, 'f3e4': {'wp': np.float64(0.06088304211776266), 'cp': -743}, 'f3f4': {'wp': np.float64(0.3745744806341618), 'cp': -139}, 'f3g4': {'wp': np.float64(0.060252755186800434), 'cp': -746}, 'f3d5': {'wp': np.float64(0.0673278105337573), 'cp': -713}, 'f3f5': {'wp': np.float64(0.08633396386072456), 'cp': -640}, 'f3c6': {'wp': np.float64(0.4610875153279138), 'cp': -42}, 'f3f6': {'wp': np.float64(0.1391700675825292), 'cp': -494}, 'g3g4': {'wp': np.float64(0.4675136156547758), 'cp': -35}, 'a5a6': {'wp': np.float64(0.5677699794621126), 'cp': 74}, 'd6f4': {'wp': np.float64(0.35161085288234994), 'cp': -166}, 'd6e5': {'wp': np.float64(0.15888980156800375), 'cp': -452}, 'd6c7': {'wp': np.float64(0.44101358203320945), 'cp': -64}, 'd6e7': {'wp': np.float64(0.5364723492777967), 'cp': 39}, 'd6b8': {'wp': np.float64(0.35829150534155985), 'cp': -158}, 'd6f8': {'wp': np.float64(0.17976065915499298), 'cp': -412}, 'b7b2': {'wp': np.float64(0.48315740242074756), 'cp': -18}, 'b7b3': {'wp': np.float64(0.4744131119652904), 'cp': -27}, 'b7b4': {'wp': np.float64(0.5326245247115031), 'cp': 35}, 'b7b5': {'wp': np.float64(0.1363607595397734), 'cp': -501}, 'b7b6': {'wp': np.float64(0.2276628162284339), 'cp': -331}, 'b7a7': {'wp': np.float64(0.1639745734783669), 'cp': -442}, 'b7c7': {'wp': np.float64(0.3624706205383721), 'cp': -153}, 'b7d7': {'wp': np.float64(0.5233123851088031), 'cp': 25}, 'b7b8': {'wp': np.float64(0.46648685852547955), 'cp': -36}}"
r4rk1/p3qnbp/1pp1b1p1/4p3/1P2Pp2/3P1N1P/1QPB1PP1/RN3RK1 b - - 0 1,Ng5,f7g5,"{'b6b5': {'wp': np.float64(0.5600354788175498), 'cp': 65}, 'c6c5': {'wp': np.float64(0.5176952453542245), 'cp': 19}, 'e6a2': {'wp': np.float64(0.14878641599761), 'cp': -473}, 'e6b3': {'wp': np.float64(0.14465954948720297), 'cp': -482}, 'e6h3': {'wp': np.float64(0.40461798305873914), 'cp': -104}, 'e6c4': {'wp': np.float64(0.195490972189696), 'cp': -384}, 'e6g4': {'wp': np.float64(0.2126408819614068), 'cp': -355}, 'e6d5': {'wp': np.float64(0.3300925593691052), 'cp': -192}, 'e6f5': {'wp': np.float64(0.2770732004482729), 'cp': -260}, 'e6d7': {'wp': np.float64(0.5537724506123103), 'cp': 58}, 'e6c8': {'wp': np.float64(0.5449062915225062), 'cp': 48}, 'g6g5': {'wp': np.float64(0.6313405753400966), 'cp': 146}, 'a7a5': {'wp': np.float64(0.49067155656247513), 'cp': -10}, 'a7a6': {'wp': np.float64(0.5777233389143995), 'cp': 85}, 'e7b4': {'wp': np.float64(0.07201465222372004), 'cp': -694}, 'e7h4': {'wp': np.float64(0.07397385521428446), 'cp': -686}, 'e7c5': {'wp': np.float64(0.06107090293919863), 'cp': -742}, 'e7g5': {'wp': np.float64(0.13180867281359698), 'cp': -511}, 'e7d6': {'wp': np.float64(0.5602661619759345), 'cp': 65}, 'e7f6': {'wp': np.float64(0.5594813995144019), 'cp': 64}, 'e7b7': {'wp': np.float64(0.5486493325252269), 'cp': 53}, 'e7c7': {'wp': np.float64(0.5702541611993778), 'cp': 76}, 'e7d7': {'wp': np.float64(0.573696277526041), 'cp': 80}, 'e7d8': {'wp': np.float64(0.5644618292481326), 'cp': 70}, 'e7e8': {'wp': np.float64(0.5615374378593246), 'cp': 67}, 'f7g5': {'wp': np.float64(0.591741145938924), 'cp': 100}, 'f7d6': {'wp': np.float64(0.5339374779655532), 'cp': 36}, 'f7h6': {'wp': np.float64(0.5171573826980009), 'cp': 18}, 'f7d8': {'wp': np.float64(0.5155777712386607), 'cp': 16}, 'f7h8': {'wp': np.float64(0.5022141172566829), 'cp': 2}, 'g7f6': {'wp': np.float64(0.5457536924074083), 'cp': 49}, 'g7h6': {'wp': np.float64(0.5015342432129442), 'cp': 1}, 'g7h8': {'wp': np.float64(0.5482089855955936), 'cp': 52}, 'h7h5': {'wp': np.float64(0.6251350822748856), 'cp': 138}, 'h7h6': {'wp': np.float64(0.5810915323628361), 'cp': 88}, 'a8b8': {'wp': np.float64(0.5558988131123809), 'cp': 60}, 'a8c8': {'wp': np.float64(0.5717598095811092), 'cp': 78}, 'a8d8': {'wp': np.float64(0.5684603915923778), 'cp': 74}, 'a8e8': {'wp': np.float64(0.5620330593321797), 'cp': 67}, 'f8b8': {'wp': np.float64(0.5666713127903101), 'cp': 72}, 'f8c8': {'wp': np.float64(0.5835702351123253), 'cp': 91}, 'f8d8': {'wp': np.float64(0.5830194914906163), 'cp': 91}, 'f8e8': {'wp': np.float64(0.5850111692022965), 'cp': 93}, 'g8h8': {'wp': np.float64(0.5454167661394552), 'cp': 49}}"
r3k2r/5ppp/p1pq1n2/1p2p3/1PPbP3/3B4/P2BQPPP/2R2RK1 w kq - 0 1,Bc2,d3c2,"{'c1a1': {'wp': np.float64(0.26996685505254026), 'cp': -270}, 'c1b1': {'wp': np.float64(0.5116440259910339), 'cp': 12}, 'c1d1': {'wp': np.float64(0.5170944593358251), 'cp': 18}, 'c1e1': {'wp': np.float64(0.507338240914473), 'cp': 7}, 'c1c2': {'wp': np.float64(0.5297442025553969), 'cp': 32}, 'c1c3': {'wp': np.float64(0.3146519530207166), 'cp': -211}, 'f1d1': {'wp': np.float64(0.533751556145863), 'cp': 36}, 'f1e1': {'wp': np.float64(0.5145884933125234), 'cp': 15}, 'g1h1': {'wp': np.float64(0.5289203978895378), 'cp': 31}, 'a2a3': {'wp': np.float64(0.5222351991711349), 'cp': 24}, 'a2a4': {'wp': np.float64(0.4519531654293588), 'cp': -52}, 'd2e1': {'wp': np.float64(0.5076562255523773), 'cp': 8}, 'd2c3': {'wp': np.float64(0.4504794283590364), 'cp': -53}, 'd2e3': {'wp': np.float64(0.47920394485315504), 'cp': -22}, 'd2f4': {'wp': np.float64(0.2735213927067814), 'cp': -265}, 'd2g5': {'wp': np.float64(0.4878797504000508), 'cp': -13}, 'd2h6': {'wp': np.float64(0.18738709690471972), 'cp': -398}, 'e2d1': {'wp': np.float64(0.4525111083211919), 'cp': -51}, 'e2e1': {'wp': np.float64(0.4435035398725462), 'cp': -61}, 'e2e3': {'wp': np.float64(0.09721309533555822), 'cp': -605}, 'e2f3': {'wp': np.float64(0.5132998272963214), 'cp': 14}, 'e2g4': {'wp': np.float64(0.056016421302798436), 'cp': -767}, 'e2h5': {'wp': np.float64(0.0625154194682115), 'cp': -735}, 'g2g3': {'wp': np.float64(0.5203004715595546), 'cp': 22}, 'g2g4': {'wp': np.float64(0.4757631067407181), 'cp': -26}, 'h2h3': {'wp': np.float64(0.5271744677832202), 'cp': 29}, 'h2h4': {'wp': np.float64(0.49637285729045877), 'cp': -3}, 'd3b1': {'wp': np.float64(0.511119353642489), 'cp': 12}, 'd3c2': {'wp': np.float64(0.5260366387589488), 'cp': 28}, 'c4b5': {'wp': np.float64(0.5277232594491457), 'cp': 30}, 'c4c5': {'wp': np.float64(0.513708649590562), 'cp': 14}}"
6k1/pp2q2p/2p3p1/3r1b2/4p3/2B1P1b1/PPQ2PPP/3R2K1 w - - 0 1,fxg3,f2g3,"{'d1a1': {'wp': np.float64(0.15264785531292266), 'cp': -465}, 'd1b1': {'wp': np.float64(0.1500418880674714), 'cp': -471}, 'd1c1': {'wp': np.float64(0.15348823628008593), 'cp': -463}, 'd1e1': {'wp': np.float64(0.15071665570173243), 'cp': -469}, 'd1f1': {'wp': np.float64(0.15268793163848815), 'cp': -465}, 'd1d2': {'wp': np.float64(0.18140250901998373), 'cp': -409}, 'd1d3': {'wp': np.float64(0.08649556979456327), 'cp': -640}, 'd1d4': {'wp': np.float64(0.18866241917076318), 'cp': -396}, 'd1d5': {'wp': np.float64(0.542487866929174), 'cp': 46}, 'g1f1': {'wp': np.float64(0.17252283504397237), 'cp': -425}, 'g1h1': {'wp': np.float64(0.16998184091126955), 'cp': -430}, 'a2a3': {'wp': np.float64(0.1806369381191288), 'cp': -410}, 'a2a4': {'wp': np.float64(0.17240562793264952), 'cp': -426}, 'b2b3': {'wp': np.float64(0.15989230755066036), 'cp': -450}, 'b2b4': {'wp': np.float64(0.16980191096079), 'cp': -431}, 'c2b1': {'wp': np.float64(0.16093616314697745), 'cp': -448}, 'c2c1': {'wp': np.float64(0.16622347034654966), 'cp': -437}, 'c2d2': {'wp': np.float64(0.102092962353266), 'cp': -590}, 'c2e2': {'wp': np.float64(0.1705052431857096), 'cp': -429}, 'c2b3': {'wp': np.float64(0.22055329872861962), 'cp': -342}, 'c2d3': {'wp': np.float64(0.053605876699430864), 'cp': -779}, 'c2a4': {'wp': np.float64(0.18433022302258842), 'cp': -403}, 'c2e4': {'wp': np.float64(0.003914283581167513), 'cp': -1504}, 'f2f3': {'wp': np.float64(0.11618412025769935), 'cp': -551}, 'f2g3': {'wp': np.float64(0.5583961673736417), 'cp': 63}, 'f2f4': {'wp': np.float64(0.12266508553719002), 'cp': -534}, 'h2g3': {'wp': np.float64(0.5605153250548207), 'cp': 66}, 'h2h3': {'wp': np.float64(0.19503837632227183), 'cp': -384}, 'h2h4': {'wp': np.float64(0.16338871241775163), 'cp': -443}, 'c3e1': {'wp': np.float64(0.16399364544793102), 'cp': -442}, 'c3d2': {'wp': np.float64(0.1428393152461878), 'cp': -486}, 'c3b4': {'wp': np.float64(0.13283875365437114), 'cp': -509}, 'c3d4': {'wp': np.float64(0.15666274685714612), 'cp': -457}, 'c3a5': {'wp': np.float64(0.14866565506279122), 'cp': -473}, 'c3e5': {'wp': np.float64(0.08901273890602299), 'cp': -631}, 'c3f6': {'wp': np.float64(0.13171717998288782), 'cp': -512}, 'c3g7': {'wp': np.float64(0.11990551942244133), 'cp': -541}, 'c3h8': {'wp': np.float64(0.13894455924410207), 'cp': -495}}"
r1b2rk1/pp1n1pbp/1q4p1/3p4/3P4/1N1B1N2/PPQ2PPP/R4RK1 b - - 0 1,Nb8,d7b8,"{'b6b3': {'wp': np.float64(0.08432990928352163), 'cp': -647}, 'b6b4': {'wp': np.float64(0.5285829774053354), 'cp': 31}, 'b6d4': {'wp': np.float64(0.07989615908856351), 'cp': -663}, 'b6a5': {'wp': np.float64(0.06136959004911067), 'cp': -740}, 'b6b5': {'wp': np.float64(0.06133251524984857), 'cp': -740}, 'b6c5': {'wp': np.float64(0.061777380793837), 'cp': -738}, 'b6a6': {'wp': np.float64(0.06790962045810717), 'cp': -711}, 'b6c6': {'wp': np.float64(0.4920504477552185), 'cp': -8}, 'b6d6': {'wp': np.float64(0.5315341876738934), 'cp': 34}, 'b6e6': {'wp': np.float64(0.5186173128858406), 'cp': 20}, 'b6f6': {'wp': np.float64(0.5263789231281347), 'cp': 28}, 'b6c7': {'wp': np.float64(0.06508032049922827), 'cp': -723}, 'b6d8': {'wp': np.float64(0.5251984768381887), 'cp': 27}, 'g6g5': {'wp': np.float64(0.294502726465462), 'cp': -237}, 'a7a5': {'wp': np.float64(0.5561736527254925), 'cp': 61}, 'a7a6': {'wp': np.float64(0.5306583296818567), 'cp': 33}, 'd7c5': {'wp': np.float64(0.1572786002448962), 'cp': -455}, 'd7e5': {'wp': np.float64(0.16097553872924988), 'cp': -448}, 'd7f6': {'wp': np.float64(0.5302338209852626), 'cp': 32}, 'd7b8': {'wp': np.float64(0.5641746582788811), 'cp': 70}, 'f7f5': {'wp': np.float64(0.46363950895826045), 'cp': -39}, 'f7f6': {'wp': np.float64(0.4362057756777379), 'cp': -69}, 'g7d4': {'wp': np.float64(0.15731910679738415), 'cp': -455}, 'g7e5': {'wp': np.float64(0.12439831641191199), 'cp': -529}, 'g7f6': {'wp': np.float64(0.5286451269060212), 'cp': 31}, 'g7h6': {'wp': np.float64(0.5248154828446221), 'cp': 26}, 'g7h8': {'wp': np.float64(0.5173784921855404), 'cp': 18}, 'h7h5': {'wp': np.float64(0.5283283265454282), 'cp': 30}, 'h7h6': {'wp': np.float64(0.5234407212791636), 'cp': 25}, 'a8b8': {'wp': np.float64(0.523716982123063), 'cp': 25}, 'f8d8': {'wp': np.float64(0.5465399370697349), 'cp': 50}, 'f8e8': {'wp': np.float64(0.5343838795753677), 'cp': 37}, 'g8h8': {'wp': np.float64(0.5132133936546096), 'cp': 14}}"
6r1/1p1nkprp/p1npp3/8/1PP1PP2/P1N2K2/3R3P/1B1R4 b - - 0 1,Nde5+,d7e5,"{'a6a5': {'wp': np.float64(0.4776909475011246), 'cp': -24}, 'c6b4': {'wp': np.float64(0.21563952505007739), 'cp': -350}, 'c6d4': {'wp': np.float64(0.19810763733617842), 'cp': -379}, 'c6a5': {'wp': np.float64(0.19899776452780635), 'cp': -378}, 'c6e5': {'wp': np.float64(0.5374477307557839), 'cp': 40}, 'c6a7': {'wp': np.float64(0.3277892174241998), 'cp': -195}, 'c6b8': {'wp': np.float64(0.4285556843859406), 'cp': -78}, 'c6d8': {'wp': np.float64(0.29262289949045905), 'cp': -239}, 'd6d5': {'wp': np.float64(0.2338738205501547), 'cp': -322}, 'e6e5': {'wp': np.float64(0.4269526038119361), 'cp': -79}, 'b7b5': {'wp': np.float64(0.3547825494144692), 'cp': -162}, 'b7b6': {'wp': np.float64(0.41050318444212786), 'cp': -98}, 'd7c5': {'wp': np.float64(0.22082509867637407), 'cp': -342}, 'd7e5': {'wp': np.float64(0.5437668010517269), 'cp': 47}, 'd7b6': {'wp': np.float64(0.5155383913710028), 'cp': 16}, 'd7f6': {'wp': np.float64(0.43993281451966165), 'cp': -65}, 'd7b8': {'wp': np.float64(0.4240004410913434), 'cp': -83}, 'd7f8': {'wp': np.float64(0.4371881840054755), 'cp': -68}, 'e7f6': {'wp': np.float64(0.27391081347203705), 'cp': -264}, 'e7d8': {'wp': np.float64(0.3073485519393916), 'cp': -220}, 'e7e8': {'wp': np.float64(0.38238706851721677), 'cp': -130}, 'e7f8': {'wp': np.float64(0.3578555295383691), 'cp': -158}, 'f7f5': {'wp': np.float64(0.3193174664042455), 'cp': -205}, 'f7f6': {'wp': np.float64(0.4452347395517551), 'cp': -59}, 'g7g1': {'wp': np.float64(0.5029616993966481), 'cp': 3}, 'g7g2': {'wp': np.float64(0.1561082066650905), 'cp': -458}, 'g7g3': {'wp': np.float64(0.12126706871674336), 'cp': -537}, 'g7g4': {'wp': np.float64(0.5380079049415805), 'cp': 41}, 'g7g5': {'wp': np.float64(0.21520794298172863), 'cp': -351}, 'g7g6': {'wp': np.float64(0.4756434718290403), 'cp': -26}, 'h7h5': {'wp': np.float64(0.4748799358772286), 'cp': -27}, 'h7h6': {'wp': np.float64(0.44504429982155924), 'cp': -59}, 'g8a8': {'wp': np.float64(0.3825787958127091), 'cp': -129}, 'g8b8': {'wp': np.float64(0.3826461163883712), 'cp': -129}, 'g8c8': {'wp': np.float64(0.43481348328513714), 'cp': -71}, 'g8d8': {'wp': np.float64(0.42664765810407823), 'cp': -80}, 'g8e8': {'wp': np.float64(0.3780207135833214), 'cp': -135}, 'g8f8': {'wp': np.float64(0.39195419550233007), 'cp': -119}, 'g8h8': {'wp': np.float64(0.38068806334078487), 'cp': -132}}"
2bq1r1k/1p3pbp/r7/p1Ppp1P1/8/1NP3Q1/PP1B2PP/4RRK1 w - - 0 1,Rxe5,e1e5,"{'e1a1': {'wp': np.float64(0.42986308595703826), 'cp': -76}, 'e1b1': {'wp': np.float64(0.4429357663600297), 'cp': -62}, 'e1c1': {'wp': np.float64(0.4273576955530929), 'cp': -79}, 'e1d1': {'wp': np.float64(0.4997106690425276), 'cp': 0}, 'e1e2': {'wp': np.float64(0.5325604399836292), 'cp': 35}, 'e1e3': {'wp': np.float64(0.47483708598264235), 'cp': -27}, 'e1e4': {'wp': np.float64(0.13713626640068738), 'cp': -499}, 'e1e5': {'wp': np.float64(0.6693449274106328), 'cp': 191}, 'f1f2': {'wp': np.float64(0.5625032011932496), 'cp': 68}, 'f1f3': {'wp': np.float64(0.5292655802980865), 'cp': 31}, 'f1f4': {'wp': np.float64(0.17626691466779332), 'cp': -418}, 'f1f5': {'wp': np.float64(0.1407026991884004), 'cp': -491}, 'f1f6': {'wp': np.float64(0.4608101867419899), 'cp': -42}, 'f1f7': {'wp': np.float64(0.15990484818878722), 'cp': -450}, 'g1h1': {'wp': np.float64(0.5362298884758854), 'cp': 39}, 'g1f2': {'wp': np.float64(0.41903527671379964), 'cp': -88}, 'a2a3': {'wp': np.float64(0.5408271365113817), 'cp': 44}, 'a2a4': {'wp': np.float64(0.5635170634386375), 'cp': 69}, 'd2c1': {'wp': np.float64(0.5277919446745385), 'cp': 30}, 'd2e3': {'wp': np.float64(0.5443939818175632), 'cp': 48}, 'd2f4': {'wp': np.float64(0.22430270433614352), 'cp': -336}, 'h2h3': {'wp': np.float64(0.5553089998046881), 'cp': 60}, 'h2h4': {'wp': np.float64(0.5781666152583268), 'cp': 85}, 'b3a1': {'wp': np.float64(0.5275414576647578), 'cp': 29}, 'b3c1': {'wp': np.float64(0.5851919832559345), 'cp': 93}, 'b3d4': {'wp': np.float64(0.27316855048831984), 'cp': -265}, 'b3a5': {'wp': np.float64(0.2659241540808128), 'cp': -275}, 'c3c4': {'wp': np.float64(0.310096756735997), 'cp': -217}, 'g3f2': {'wp': np.float64(0.48788419928607457), 'cp': -13}, 'g3d3': {'wp': np.float64(0.508102683223966), 'cp': 8}, 'g3e3': {'wp': np.float64(0.5093981104282708), 'cp': 10}, 'g3f3': {'wp': np.float64(0.4854565140536586), 'cp': -15}, 'g3h3': {'wp': np.float64(0.08758573512712062), 'cp': -636}, 'g3f4': {'wp': np.float64(0.10149165965101599), 'cp': -592}, 'g3g4': {'wp': np.float64(0.07349504721131199), 'cp': -688}, 'g3h4': {'wp': np.float64(0.5236323039673872), 'cp': 25}, 'g3e5': {'wp': np.float64(0.1753900831635292), 'cp': -420}, 'c5c6': {'wp': np.float64(0.4976867441704679), 'cp': -2}, 'g5g6': {'wp': np.float64(0.31490587418494587), 'cp': -211}}"
5r2/ppr1q1kp/3p1p2/4pPpn/2PpP3/1P1P1NP1/P2Q3P/2R2RK1 w - - 0 1,Ne1,f3e1,"{'c1a1': {'wp': np.float64(0.5799559068221836), 'cp': 87}, 'c1b1': {'wp': np.float64(0.5780872460196342), 'cp': 85}, 'c1d1': {'wp': np.float64(0.5660288274931863), 'cp': 72}, 'c1e1': {'wp': np.float64(0.5656633914689666), 'cp': 71}, 'c1c2': {'wp': np.float64(0.5747082816980882), 'cp': 81}, 'c1c3': {'wp': np.float64(0.15886050509268407), 'cp': -452}, 'f1d1': {'wp': np.float64(0.5632492762068543), 'cp': 69}, 'f1e1': {'wp': np.float64(0.5623634485988841), 'cp': 68}, 'f1f2': {'wp': np.float64(0.5720751228406298), 'cp': 78}, 'g1h1': {'wp': np.float64(0.5632224319839725), 'cp': 69}, 'g1f2': {'wp': np.float64(0.5742840488748384), 'cp': 81}, 'g1g2': {'wp': np.float64(0.5777275287627524), 'cp': 85}, 'a2a3': {'wp': np.float64(0.5714914441026834), 'cp': 78}, 'a2a4': {'wp': np.float64(0.587765146287436), 'cp': 96}, 'd2d1': {'wp': np.float64(0.5974516066504505), 'cp': 107}, 'd2e1': {'wp': np.float64(0.5710298957579468), 'cp': 77}, 'd2b2': {'wp': np.float64(0.5639144474249403), 'cp': 69}, 'd2c2': {'wp': np.float64(0.563372777036), 'cp': 69}, 'd2e2': {'wp': np.float64(0.5958827720796303), 'cp': 105}, 'd2f2': {'wp': np.float64(0.5634074402022408), 'cp': 69}, 'd2g2': {'wp': np.float64(0.55765185134005), 'cp': 62}, 'd2c3': {'wp': np.float64(0.09377181777299926), 'cp': -616}, 'd2e3': {'wp': np.float64(0.08929310546443775), 'cp': -630}, 'd2b4': {'wp': np.float64(0.5532846676819583), 'cp': 58}, 'd2f4': {'wp': np.float64(0.10048396252224438), 'cp': -595}, 'd2a5': {'wp': np.float64(0.5553960394139937), 'cp': 60}, 'd2g5': {'wp': np.float64(0.1092670090381509), 'cp': -569}, 'h2h3': {'wp': np.float64(0.3817752852381161), 'cp': -130}, 'h2h4': {'wp': np.float64(0.4422571275647672), 'cp': -63}, 'b3b4': {'wp': np.float64(0.5770965757294881), 'cp': 84}, 'f3e1': {'wp': np.float64(0.5852244671363859), 'cp': 93}, 'f3d4': {'wp': np.float64(0.32730624014688253), 'cp': -195}, 'f3h4': {'wp': np.float64(0.319052964803879), 'cp': -205}, 'f3e5': {'wp': np.float64(0.23187501086343879), 'cp': -325}, 'f3g5': {'wp': np.float64(0.22709126538085966), 'cp': -332}, 'g3g4': {'wp': np.float64(0.42395841755939956), 'cp': -83}, 'c4c5': {'wp': np.float64(0.46094815609749296), 'cp': -42}}"
